plant_id,plant_name,phone_number,boss_id,country_name,province,street_address
1,Xi'an-1,671 796-9140,100,China,Shaanxi,307 Auer Skyway
2,Beijing-1,365 038-4766,89,China,Beijing,7573 Hintz Stravenue
3,Harbin,314 822-4307,233,China,Heilongjiang,9880 Elroy Orchard
4,Nanjing,317 249-4651,950,China,Jiangsu,399 Buckridge Mall
5,Fuzhou,540 901-0964,565,China,Fujian,1376 Raegan Meadows
6,Jinan,715 456-3811,167,China,Shandong,22303 Hermiston Club
7,Chongqing,802 391-0892,77,China,Chongqing,2220 Aufderhar Knolls
8,Shenyang,463 929-7519,768,China,Liaoning,9410 Weber Extension
9,Xi'an-3,952 746-1897,327,China,Shaanxi,8783 Hagenes Valley
10,Guangzhou,831 583-4188,289,China,Guangdong,191 Leland Dam
11,Beijing-2,463 268-2181,1025,China,Beijing,244 Runolfsdottir Rest
12,Chengdu-1,318 866-9310,665,China,Sichuan,9541 Considine Road
13,Shenzhen-3,347 823-3157,443,China,Guangdong,5649 Stanton Views
14,Shanghai,270 598-6695,596,China,Shanghai,0589 Ritchie Loop
15,Kunming,815 808-1938,574,China,Yunnan,98522 Wilburn Tunnel
16,Xi'an-2,806 874-6851,331,China,Shaanxi,017 Norval Knoll
17,Zhengzhou,214 461-5882,857,China,Henan,6683 Marc Terrace
18,Shenzhen-1,706 043-6304,487,China,Guangdong,2625 Mueller Trafficway
19,Shenzhen-2,812 868-0803,536,China,Guangdong,3901 Nathan Summit
20,Chengdu-2,778 107-6224,794,China,Sichuan,953 Mayert Rapid
